BTCUSDT,ETHUSDT
45032.48,1414.77
45263.9,1418.0
45468.4,1421.99
46167.98,1444.94
46182.76,1442.6
46149.99,1439.09
46483.27,1447.18
46428.52,1443.7
46237.33,1443.44
46177.24,1441.14
46326.11,1443.38
46217.19,1440.76
46112.9,1436.31
46122.11,1434.39
46041.44,1432.04
46121.9,1433.69
46130.71,1433.55
46114.03,1432.92
46259.29,1437.17
46187.37,1434.36
46229.25,1436.8
46292.41,1438.72
46250.01,1438.5
46161.83,1439.55
46272.29,1442.68
46285.27,1445.94
46388.64,1444.49
46303.6,1441.11
46656.38,1446.4
46652.85,1450.17
46664.36,1449.36
46576.03,1446.5
46571.29,1444.75
46527.9,1442.13
46468.1,1438.54
46419.56,1440.05
46430.44,1436.7
46307.9,1434.18
46387.69,1439.09
46478.89,1440.74
46431.9,1438.18
46505.97,1442.26
46403.66,1442.92
46330.52,1438.84
46327.99,1437.27
46345.01,1435.52
46402.7,1437.69
46336.37,1434.06
46447.49,1441.78
46422.52,1441.45
46324.89,1436.74
46108.05,1428.58
46054.89,1425.82
46165.13,1431.2
46159.99,1432.77
46103.9,1429.33
46260.05,1436.9
46408.02,1440.26
46426.31,1441.71
46458.33,1441.63
46379.25,1441.08
46335.01,1443.44
46318.8,1442.45
46221.0,1438.93
46276.14,1441.96
46046.57,1436.4
46174.1,1442.6
46153.48,1440.62
46124.54,1435.91
46119.39,1433.91
46094.08,1428.94
46200.47,1433.71
46124.82,1430.77
46194.79,1433.6
46238.0,1434.92
46235.94,1441.01
46167.52,1435.93
46241.94,1436.96
46121.34,1430.75
45918.66,1425.01
45807.76,1424.2
45641.03,1421.25
45819.65,1423.76
45857.3,1424.36
46129.94,1432.58
46049.29,1426.21
46171.16,1429.92
46167.99,1428.66
46088.03,1427.44
46123.16,1431.32
45946.44,1423.99
46089.82,1430.16
46088.73,1430.0
45943.12,1425.46
46101.63,1429.81
46288.18,1437.74
46380.07,1439.61
46562.73,1444.4
46536.66,1443.1
46598.99,1444.12
46931.38,1458.59
46882.48,1463.23
46916.26,1467.58
47088.17,1466.9
47085.84,1464.25
47072.49,1461.65
47117.26,1464.46
47009.38,1464.46
46937.41,1467.32
47301.38,1487.41
47259.85,1490.22
47280.0,1501.39
47218.64,1494.55
47183.83,1502.15
47245.54,1499.57
47293.54,1503.88
47452.38,1507.31
47380.0,1504.64
47269.31,1502.85
47350.12,1504.17
47163.69,1500.5
47130.0,1500.92
47280.35,1516.76
47399.99,1518.56
47260.01,1515.0
47168.42,1507.78
47210.54,1509.41
47242.59,1512.17
47578.79,1523.02
47442.72,1520.73
47696.75,1526.67
47615.66,1522.87
47478.92,1519.53
47678.25,1524.5
47746.42,1528.11
47792.78,1524.05
47720.91,1523.63
47659.39,1519.92
47652.75,1517.59
47770.0,1524.81
47750.05,1522.24
47844.12,1524.85
47735.74,1521.82
47722.78,1524.96
47906.45,1529.87
47786.49,1522.17
47755.01,1521.57
47768.78,1524.69
47546.29,1515.2
47468.35,1510.04
47618.95,1516.24
47645.96,1520.0
47820.8,1523.53
47985.06,1530.69
47920.39,1529.26
47913.8,1528.95
48208.61,1534.76
48165.65,1531.73
48257.87,1531.86
48270.88,1534.16
48068.03,1531.61
48111.09,1530.93
47949.81,1528.3
47949.55,1526.89
48148.2,1529.99
47995.4,1526.93
47982.94,1527.16
47799.33,1522.81
47824.49,1522.18
48028.75,1526.44
48072.3,1525.0
48021.18,1522.65
48050.66,1525.61
48208.6,1530.45
48438.2,1537.62
48342.49,1534.23
48343.5,1533.81
48178.0,1527.33
48177.71,1525.71
48083.04,1526.0
48244.59,1531.68
48381.2,1536.74
48436.32,1540.65
48483.39,1539.8
48625.49,1540.04
48772.9,1549.24
48833.01,1548.83
48877.15,1549.44
49180.74,1551.13
49239.89,1546.58
49109.79,1542.24
49188.0,1551.73
49094.28,1553.37
48883.29,1542.84
48886.26,1537.49
49081.53,1542.93
49272.39,1555.05
49074.18,1546.25
48965.47,1541.8
48952.8,1540.78
48900.0,1536.64
48622.18,1528.12
48823.66,1537.7
49065.4,1542.86
48948.0,1538.67
48966.7,1537.05
48867.89,1534.22
48825.09,1536.4
48825.66,1534.2
49035.31,1539.2
49028.81,1535.85
48810.44,1532.95
48736.17,1531.7
48762.22,1528.76
48724.99,1526.24
48565.0,1520.83
48768.61,1527.99
48729.49,1528.91
48638.58,1527.98
48249.3,1514.74
48285.12,1515.94
48434.5,1520.56
48507.59,1520.99
48456.94,1519.11
48448.48,1520.58
48522.14,1525.35
48490.76,1523.01
48465.27,1524.14
48458.05,1524.67
48534.02,1525.55
48555.69,1524.02
48420.62,1520.49
48318.64,1516.91
48297.34,1516.26
48375.66,1521.38
48236.58,1514.67
48034.6,1503.49
48288.97,1516.73
48387.05,1522.99
48262.83,1513.26
48497.54,1524.89
48444.14,1520.77
48594.97,1516.39
48774.03,1523.23
48652.35,1520.96
48358.98,1512.88
48049.47,1507.81
48019.61,1507.23
48142.85,1510.41
48330.01,1516.74
48369.79,1518.24
48512.4,1518.14
48571.3,1521.93
48658.13,1525.0
48467.74,1519.92
48550.0,1521.83
48643.82,1524.0
48544.28,1520.84
48537.25,1521.4
48666.99,1523.57
48729.15,1526.21
48800.88,1531.64
48858.67,1543.7
48784.09,1544.4
48785.96,1541.35
48642.6,1536.8
48668.47,1536.38
48791.87,1537.28
48900.43,1539.37
48964.96,1541.6
49123.66,1547.16
49255.99,1549.09
49108.95,1549.52
49081.62,1547.82
49013.42,1545.1
49137.73,1550.06
49282.25,1552.93
49197.37,1552.4
49273.73,1552.14
49516.05,1557.95
49703.03,1559.99
49666.67,1558.7
49548.78,1556.64
49595.65,1557.17
49628.47,1559.04
49610.56,1564.0
